# Traditional → Simplified Chinese codepoint mapping
# Generated by build_trad_simp_mapping.py from Unihan_Variants.txt
# Format: TRAD_HEX<TAB>SIMP_HEX
0x346E	0x2B748
0x346F	0x3454
0x3473	0x3447
0x3476	0x3439
0x3493	0x20242
0x3496	0x2EBF5
0x349C	0x201D0
0x34A3	0x2CF96
0x34BF	0x305A9
0x34C4	0x2A81F
0x34D6	0x300FB
0x34E8	0x523E
0x3503	0x2B98C
0x3505	0x2B985
0x350B	0x2A7CE
0x351D	0x2B9A9
0x3522	0x2B9B3
0x3552	0x30195
0x3562	0x301C0
0x35A6	0x301CE
0x35AE	0x2A835
0x35D9	0x2BA69
0x35E2	0x301D6
0x35E3	0x2BABA
0x35F0	0x2BA5B
0x35F2	0x20D7E
0x35F6	0x2D1DC
0x35FB	0x2BA80
0x35FC	0x2BA64
0x35FF	0x2A85B
0x3613	0x2A88C
0x3614	0x2BB10
0x3616	0x30241
0x3619	0x2BA82
0x361A	0x360E
0x3624	0x2121B
0x3654	0x30258
0x3661	0x2D382
0x3662	0x3029F
0x366C	0x2BB9C
0x367A	0x3029B
0x367E	0x3027D
0x36CD	0x2EC3F
0x36DD	0x2B766
0x3704	0x36AF
0x370F	0x36E3
0x3710	0x2B767
0x3715	0x2EC47
0x3717	0x2178B
0x371E	0x30306
0x3722	0x217B1
0x3725	0x2BC28
0x372D	0x2BC20
0x372E	0x2BC55
0x3730	0x2EC3D
0x3737	0x21760
0x373A	0x2BC97
0x375E	0x2BCC3
0x375F	0x2B938
0x379E	0x2AA0A
0x37E6	0x2EC69
0x37FA	0x2AA47
0x3801	0x2BD85
0x3806	0x2EC6F
0x380F	0x37C6
0x3820	0x30390
0x3823	0x2BD77
0x3853	0x2BDC5
0x385E	0x303DC
0x3897	0x2AA91
0x389D	0x222C8
0x3932	0x2BE81
0x396E	0x3918
0x3977	0x30478
0x398A	0x2BE86
0x398E	0x226EF
0x3996	0x2BE93
0x399B	0x225D3
0x399E	0x2AAF7
0x39A1	0x2EC83
0x39A6	0x2BEC1
0x39AC	0x3046B
0x39AD	0x2D74B
0x3A1B	0x304D4
0x3A1F	0x2BF25
0x3A25	0x2BF40
0x3A3B	0x2AB83
0x3A47	0x2BF47
0x3A4B	0x2AB8B
0x3A4C	0x2BF67
0x3A5C	0x3A2B
0x3A63	0x2BF89
0x3A6D	0x2BF4A
0x3A73	0x39D0
0x3A75	0x64DC
0x3A77	0x30532
0x3A79	0x22DA3
0x3A8E	0x2ABCB
0x3AB9	0x2C5A0
0x3B22	0x2EC9B
0x3B23	0x2C02E
0x3B2E	0x305A0
0x3B93	0x23572
0x3B9D	0x23497
0x3BB2	0x305D9
0x3BBF	0x2ECB0
0x3BC2	0x30600
0x3BC6	0x305E1
0x3BE4	0x23610
0x3BF8	0x305E6
0x3BFC	0x23665
0x3C02	0x305F5
0x3C04	0x2ECB6
0x3C05	0x2DAD9
0x3C0D	0x2CE9C
0x3C30	0x2C162
0x3C33	0x2DB48
0x3CAF	0x306AA
0x3CB0	0x30694
0x3CB2	0x2C1C7
0x3CFD	0x3CFD
0x3D38	0x306DB
0x3D3F	0x306FD
0x3D4D	0x2C1F0
0x3D51	0x30722
0x3D52	0x2C215
0x3D57	0x23CC6
0x3D64	0x2C247
0x3D7E	0x2ADCD
0x3D86	0x2B79B
0x3D8C	0x23F8D
0x3D8D	0x3075F
0x3D8F	0x3074B
0x3D92	0x306E9
0x3D95	0x30757
0x3DC3	0x3077E
0x3DCD	0x241A2
0x3DF2	0x30789
0x3DF6	0x307B2
0x3DFB	0x2DD0A
0x3DFF	0x24237
0x3E05	0x3078D
0x3E0A	0x2C2CD
0x3E10	0x2C2BE
0x3E53	0x30834
0x3E7D	0x2B7A3
0x3E8F	0x2480B
0x3E91	0x2C337
0x3E9C	0x2AEBB
0x3EF6	0x2AF0B
0x3EFD	0x3EEA
0x3F00	0x2ED18
0x3F01	0x2ED02
0x3F06	0x2C386
0x3F08	0x2DE5C
0x3F3B	0x2C3A7
0x3FB5	0x2C3DF
0x3FBA	0x2C3DC
0x3FC9	0x308F6
0x3FCE	0x2C3F7
0x3FD6	0x2AF6E
0x3FD7	0x24ECA
0x3FE7	0x24F6F
0x3FF9	0x30928
0x4009	0x25062
0x400D	0x3094A
0x4034	0x2C44F
0x4039	0x25174
0x405D	0x3095E
0x406A	0x251E2
0x4071	0x2C452
0x407B	0x4025
0x408E	0x2539D
0x4093	0x30994
0x40C1	0x309B4
0x40D5	0x309B7
0x40D8	0x2C48E
0x40E2	0x309CE
0x40E3	0x309A8
0x40E4	0x2C495
0x40EE	0x9FCE
0x40F4	0x309D8
0x4150	0x2B028
0x4158	0x257C2
0x4173	0x2B02C
0x4185	0x30A33
0x4189	0x2B042
0x41D3	0x30A67
0x4246	0x2ED6E
0x424D	0x2C54A
0x4250	0x2C55B
0x4251	0x2B072
0x4259	0x25B00
0x426C	0x2B088
0x4271	0x2C566
0x4272	0x25B9C
0x4276	0x2B077
0x429C	0x30AAB
0x429F	0x30ACB
0x42AD	0x25E85
0x42B2	0x2C87B
0x42B5	0x2E260
0x42B7	0x4336
0x42BA	0x2B11A
0x42C3	0x2B11C
0x42C6	0x30B01
0x42CD	0x30B02
0x42CE	0x2C61C
0x42CF	0x2E263
0x42D0	0x2C619
0x42D1	0x30B03
0x42D4	0x2B11E
0x42D9	0x433A
0x42DA	0x433B
0x42E6	0x2B129
0x42EB	0x30B11
0x42F9	0x433F
0x42FA	0x2C634
0x42FB	0x433E
0x42FC	0x2B12E
0x42FD	0x30B2D
0x42FE	0x2C632
0x42FF	0x26213
0x4301	0x2C631
0x4307	0x30B31
0x4308	0x26216
0x430B	0x26218
0x430C	0x30B36
0x4310	0x2C62E
0x4316	0x2621C
0x431D	0x2621F
0x431E	0x2C62A
0x431F	0x2621E
0x4325	0x26220
0x432A	0x2C641
0x4330	0x26219
0x4364	0x2B145
0x4377	0x2C66D
0x437D	0x26360
0x4398	0x2C684
0x4399	0x2B16D
0x43B1	0x43AC
0x43CA	0x30B79
0x4422	0x30B99
0x4423	0x2C07D
0x4437	0x2C085
0x4439	0x30BB2
0x443D	0x30BCE
0x4457	0x2C6F9
0x447C	0x30C0C
0x44E3	0x2C72F
0x4507	0x30C34
0x4508	0x30C40
0x4521	0x2C741
0x454F	0x2ED9D
0x4561	0x30C69
0x4564	0x2B7D5
0x4573	0x26C34
0x4579	0x30C36
0x457C	0x2C774
0x4580	0x30C96
0x4585	0x2B7D1
0x459A	0x30C9F
0x45C3	0x30CB3
0x45C5	0x2B2AA
0x45E5	0x30CAF
0x45FB	0x2E502
0x45FD	0x30CDA
0x45FF	0x2725E
0x4654	0x2B2F2
0x4661	0x464C
0x4671	0x2772D
0x467C	0x30D16
0x4686	0x2C891
0x4689	0x2C890
0x4695	0x30D17
0x469E	0x30D24
0x46A9	0x2B32F
0x46B3	0x2C8DB
0x46B5	0x2C8DF
0x46BD	0x2C8DC
0x46C0	0x30D50
0x46C4	0x2B360
0x46CC	0x30D5C
0x46CD	0x2C8E7
0x46D8	0x2C8EF
0x46DB	0x2C8EC
0x46DE	0x2C8F8
0x46E0	0x30D6B
0x46E4	0x2C8F9
0x46EC	0x2C901
0x46ED	0x30D70
0x46F3	0x2B36B
0x46F4	0x2EDC8
0x46FD	0x2C90C
0x46FF	0x2C911
0x4700	0x4727
0x4704	0x30D88
0x4709	0x2C918
0x470B	0x2C909
0x470D	0x2C91F
0x470E	0x2C8FF
0x470F	0x30D87
0x4712	0x2C921
0x4716	0x2B7E2
0x471A	0x2C92A
0x471D	0x2C92C
0x474F	0x30DAC
0x4755	0x2C944
0x476D	0x2B3A7
0x476F	0x2C975
0x477B	0x27E55
0x477C	0x478D
0x4780	0x2C97D
0x4781	0x2C97A
0x4782	0x2C97B
0x4788	0x27E51
0x4789	0x30DE9
0x478B	0x2B3AA
0x4793	0x2B3AD
0x47C3	0x2B3BA
0x47C6	0x2B3B3
0x47CF	0x30DF4
0x47D0	0x2B3B1
0x47FA	0x2C9A5
0x4806	0x2B3C3
0x481F	0x30E08
0x4820	0x30E1B
0x4829	0x30E0A
0x482E	0x2C9C3
0x4831	0x2815B
0x4841	0x2C9E2
0x4844	0x2EDD6
0x4845	0x30E73
0x4847	0x30E77
0x484A	0x30E7A
