KEYS,ENGLISH,,FRENCH,GERMAN,CZECH,PORTUGUESE,RUSSIA
,English,Español,Français,Deutsch,Čeština,Português (Brasil),Русский
STR_CROSSPOINT,CrossPoint,CrossPoint,CrossPoint,CrossPoint,CrossPoint,CrossPoint,CrossPoint
STR_BOOTING,BOOTING,BOOTING,DÉMARRAGE EN COURS,STARTEN,SPUŠTĚNÍ,INICIANDO,Загрузка
STR_SLEEPING,SLEEPING,SLEEPING,VEILLE,STANDBY,SPÁNEK,EM REPOUSO,Спящий режим
STR_ENTERING_SLEEP,Entering Sleep...,ENTERING SLEEP...,Mise en veille…,Standby...,Vstup do režimu spánku...,Entrando em repouso...,Переход в сон...
STR_BROWSE_FILES,Browse Files,Buscar archivos,Fichiers,Durchsuchen,Procházet soubory,Procurar arquivos,Обзор файлов
STR_FILE_TRANSFER,File Transfer,Transferencia de archivos,Transfert,Datentransfer,Přenos souborů,Transferência,Передача файлов
STR_SETTINGS_TITLE,Settings,Configuración,Réglages,Einstellungen,Nastavení,Configurações,Настройки
STR_CALIBRE_LIBRARY,Calibre Library,Libreria Calibre,Bibliothèque Calibre,Calibre-Bibliothek,Knihovna Calibre,Biblioteca do Calibre,Библиотека Calibre
STR_CONTINUE_READING,Continue Reading,Continuar leyendo,Continuer la lecture,Weiterlesen,Pokračovat ve čtení,Continuar lendo,Продолжить чтение
STR_NO_OPEN_BOOK,No open book,No hay libros abiertos,Aucun livre ouvert,Aktuell kein Buch,Žádná otevřená kniha,Nenhum livro aberto,Нет открытой книги
STR_START_READING,Start reading below,Start reading below,Lisez votre premier livre ci-dessous,Lesen beginnen,Začněte číst níže,Comece a ler abaixo,Начать чтение ниже
STR_BOOKS,Books,Libros,Livres,Bücher,Knihy,Livros,Книги
STR_NO_BOOKS_FOUND,No books found,No se encontraron libros,Dossier vide,Keine Bücher,Žádné knihy nenalezeny,Sem livros,Книги не найдены
STR_SELECT_CHAPTER,Select Chapter,Seleccionar capítulo,Choix du chapitre,Kapitel auswählen,Vybrat kapitolu,Selecionar capítulo,Выберите главу
STR_NO_CHAPTERS,No chapters,Sin capítulos,Aucun chapitre,Keine Kapitel,Žádné kapitoly,Sem capítulos,Глав нет
STR_END_OF_BOOK,End of book,Fin del libro,Fin du livre,Buchende,Konec knihy,Fim do livro,Конец книги
STR_EMPTY_CHAPTER,Empty chapter,Capítulo vacío,Chapitre vide,Kapitelende,Prázdná kapitola,Capítulo vazio,Пустая глава
STR_INDEXING,Indexing...,Indexando...,Indexation en cours…,Indexieren…,Indexování...,Indexando...,Индексация...
STR_MEMORY_ERROR,Memory error,Error de memoria,Erreur de mémoire,Speicherfehler,Chyba paměti,Erro de memória,Ошибка памяти
STR_PAGE_LOAD_ERROR,Page load error,Error al cargar la página,Erreur de chargement,Seitenladefehler,Chyba načítání stránky,Erro página,Ошибка загрузки страницы
STR_EMPTY_FILE,Empty file,Archivo vacío,Fichier vide,Leere Datei,Prázdný soubor,Arquivo vazio,Пустой файл
STR_OUT_OF_BOUNDS,Out of bounds,Out of bounds,Dépassement de mémoire,Zu groß,Mimo hranice,Fora dos limites,Выход за пределы
STR_LOADING,Loading...,Cargando...,Chargement…,Laden…,Načítání...,Carregando...,Загрузка...
STR_LOAD_XTC_FAILED,Failed to load XTC,Error al cargar XTC,Erreur de chargement du fichier XTC,Ladefehler bei XTC,Nepodařilo se načíst XTC,Falha ao carregar XTC,Не удалось загрузить XTC
STR_LOAD_TXT_FAILED,Failed to load TXT,Error al cargar TXT,Erreur de chargement du fichier TXT,Ladefehler bei TXT,Nepodařilo se načíst TXT,Falha ao carregar TXT,Не удалось загрузить TXT
STR_LOAD_EPUB_FAILED,Failed to load EPUB,Error al cargar EPUB,Erreur de chargement du fichier EPUB,Ladefehler bei EPUB,Nepodařilo se načíst EPUB,Falha ao carregar EPUB,Не удалось загрузить EPUB
STR_SD_CARD_ERROR,SD card error,Error en la tarjeta SD,Carte mémoire absente,SD-Karten-Fehler,Chyba SD karty,Erro no cartão SD,Ошибка SD-карты
STR_WIFI_NETWORKS,WiFi Networks,Redes Wi-Fi,Réseaux WiFi,WLAN-Netzwerke,Wi-Fi sítě,Redes Wi‑Fi,Wi-Fi сети
STR_NO_NETWORKS,No networks found,No hay redes disponibles,Aucun réseau,Kein WLAN gefunden,Žádné sítě nenalezeny,Sem redes,Сети не найдены
STR_NETWORKS_FOUND,%zu networks found,%zu redes encontradas,%zu réseaux,%zu WLAN-Netzwerke gefunden,Nalezeno %zu sítí,%zu redes encontradas,Найдено сетей: %zu
STR_SCANNING,Scanning...,Buscando...,Recherche de réseaux en cours…,Suchen...,Skenování...,Procurando...,Сканирование...
STR_CONNECTING,Connecting...,Conectando...,Connexion en cours…,Verbinden...,Připojování...,Conectando...,Подключение...
STR_CONNECTED,Connected!,Conectado!,Connecté !,Verbunden!,Připojeno!,Conectado!,Подключено!
STR_CONNECTION_FAILED,Connection Failed,Error de conexion,Échec de la connexion,Verbindungsfehler,Připojení se nezdařilo,Falha na conexão,Ошибка подключения
STR_CONNECTION_TIMEOUT,Connection timeout,Connection timeout,Délai de connexion dépassé,Verbindungs-Timeout,Časový limit připojení,Tempo limite conexão,Тайм-аут подключения
STR_FORGET_NETWORK,Forget Network?,Olvidar la red?,Oublier ce réseau ?,WLAN vergessen?,Zapomenout síť?,Esquecer rede?,Забыть сеть?
STR_SAVE_PASSWORD,Save password for next time?,Guardar contraseña para la próxima vez?,Enregistrer le mot de passe ?,Passwort speichern?,Uložit heslo pro příště?,Salvar senha a próxima vez?,Сохранить пароль?
